delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,8,0.02109309984371066,,0.016484000021591783,0.02109309984371066,1.0027685998938978,1.0027685998938978,1.0358456999529153,2.7584579000249505,space,1.6745654998812824,None,2.7604276000056416,3.4688340665927777,3.778943100012839,3.766200999962166,3.7662337999790907,3.778943100012839,3.778943100012839,3.778943100012839,8.101349599892274,300,1,[4.333335099974647],[4.333341400139034],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.4,1000,exp,0,1,1,4,8.116816999856383,,8.102473299950361,8.116816999856383,9.116867499891669,9.116867499891669,9.116867499891669,9.501452599884942,space,0.37169649987481534,None,9.501951799960807,9.91659136658224,10.224725399864838,10.216138199903071,10.216165199875832,10.224725399864838,10.224725399864838,10.224725399864838,13.499880299903452,250,1,[3.282232799800113],[3.282238199841231],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.1,1000,exp,0,2,2,3,13.515327799832448,,13.500446100020781,13.515327799832448,14.514917599968612,14.514917599968612,14.514917599968612,14.782698299968615,space,0.26045659999363124,None,14.783179699908942,14.898059566567342,15.205302899936214,15.196106899995357,15.196148299844936,15.205302899936214,15.205302899936214,15.205302899936214,20.464081299956888,150,1,[5.266297800000757],[5.266303600044921],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.4,1000,exp,0,3,3,10,20.47944019990973,,20.46465629991144,20.47944019990973,21.479361600009724,21.479361600009724,21.479361600009724,21.597263999981806,space,0.10427089990116656,None,21.59786119987257,22.012754266678044,22.31792219984345,22.306684999959543,22.306716399965808,22.31792219984345,22.31792219984345,22.31792219984345,25.52888030000031,500,1,[3.2206216000486165],[3.22062739985995],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.7,400,unexp,0,4,4,2,25.544537500012666,,25.52942299982533,25.544537500012666,26.544178599957377,26.544178599957377,26.544178599957377,27.562068099854514,space,1.0143639999441803,None,27.562661099946126,28.276868666584292,28.592052099993452,28.577930999919772,28.578090199967846,28.592052099993452,28.592052099993452,28.592052099993452,32.47667420003563,100,1,[3.8941494999453425],[3.8941550999879837],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.4,400,unexp,0,5,5,1,32.49191270000301,,32.4772594999522,32.49191270000301,33.49195449985564,33.49195449985564,33.49195449985564,33.759870499838144,space,0.2657156002242118,None,33.76047639991157,34.17487056652705,34.485518499976024,34.476271599996835,34.47630460001528,34.485518499976024,34.485518499976024,34.485518499976024,39.47436819993891,175,1,[4.996501999907196],[4.996508100070059],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.4,1000,exp,0,6,6,7,39.489621199900284,,39.474913199897856,39.489621199900284,40.489638099912554,40.489638099912554,40.489638099912554,41.13984259986319,space,0.639152699848637,None,41.140141600044444,41.53936296661074,41.84696440002881,41.83605969999917,41.836094100028276,41.84696440002881,41.84696440002881,41.84696440002881,46.07216249988414,450,1,[4.234441099921241],[4.234447099966928],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.7,1000,exp,0,7,7,5,46.08752389997244,,46.07280209986493,46.08752389997244,47.08703979989514,47.08703979989514,47.08703979989514,48.038421199889854,space,0.9404194999951869,None,48.03898740001023,48.75340106670434,49.05868809996173,49.0501087999437,49.05013250000775,49.05868809996173,49.05868809996173,49.05868809996173,57.218876000028104,200,1,[8.16757780010812],[8.167583900038153],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.1,400,unexp,0,8,8,0,57.233586199814454,,57.21943419985473,57.233586199814454,58.23341510002501,58.23341510002501,58.23341510002501,58.56800760002807,space,0.33074730006046593,None,58.56899069994688,58.68324416649217,58.984623699914664,58.97615769994445,58.976182400016114,58.984623699914664,58.984623699914664,58.984623699914664,63.465894700028,300,1,[4.488467900082469],[4.488472699886188],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.1,1000,exp,0,9,9,6,63.48151699989103,,63.46658129990101,63.48151699989103,64.4812854998745,64.4812854998745,64.4812854998745,64.73270419985056,space,0.2472287998534739,None,64.73330509988591,64.84775936656321,65.15624839998782,65.14563969988376,65.14565790002234,65.15624839998782,65.15624839998782,65.15624839998782,71.06361990002915,275,1,[5.916203700006008],[5.916211800184101],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.1,1000,exp,0,10,10,9,71.07895509991795,,71.06442089984193,71.07895509991795,72.07888969988562,72.07888969988562,72.07888969988562,72.34642759989947,space,0.26141869998537004,None,72.3473107998725,72.46163096657644,72.7656290999148,72.75660560000688,72.75663769990206,72.7656290999148,72.7656290999148,72.7656290999148,77.894258499844,150,1,[5.135999899823219],[5.136005399981514],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.7,1000,exp,0,11,11,11,77.9100895000156,,77.89480499993078,77.9100895000156,78.90971080004238,78.90971080004238,78.90971080004238,79.61112399981357,space,0.692940799985081,None,79.61167209991254,80.32581566652904,80.63487499998882,80.62598749995232,80.62601799983531,80.63487499998882,80.63487499998882,80.63487499998882,82.82647649990395,400,1,[2.198934900108725],[2.1989399001467973],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.4,1000,exp,1,0,12,10,82.84154079994187,,82.82716499990784,82.84154079994187,83.84107670001686,83.84107670001686,83.84107670001686,85.90799660002813,space,2.0501427999697626,None,85.9082974998746,86.32419536664771,86.63421999989077,86.62600940000266,86.62603659997694,86.63421999989077,86.63421999989077,86.63421999989077,89.45706919999793,350,1,[2.829644300043583],[2.82964999997057],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
0.1,1000,exp,1,1,13,9,89.47248509991914,,89.45760490000248,89.47248509991914,90.4724724998232,90.4724724998232,90.4724724998232,90.72367749991827,space,0.24027550010941923,None,90.72429689997807,90.83888536651308,91.14444249984808,91.13578629982658,91.13581279991195,91.14444249984808,91.14444249984808,91.14444249984808,94.37239749985747,550,1,[3.235187300015241],[3.235195799963549],297724,001,2024-11-14_18h22.24.562,Intentional_binding,2024.1.5,None,2024-11-14 18h22.31.450546 +0530,
