Study_word,test_word,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
phone,,,,0,0,0,2,,,,,0.1186737,,0.0291645,0.1186737,0.1186737,2.1072715,1,2.0276749,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
Poster,,,,0,1,1,14,,,,,2.1329793,,2.1081563,2.1329793,2.1329793,3.5403531,1.488888889,1.3888582,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
T-shirt,,,,0,2,2,7,,,,,3.5862558,,3.5408837,3.5862558,3.5862558,4.7396326,1,1.149188,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
cushion,,,,0,3,3,1,,,,,4.7829367,,4.740175,4.7829367,4.7829367,5.9898573,1.411111111,1.2065966,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
Pastry,,,,0,4,4,9,,,,,6.0323454,,5.9904184,6.0323454,6.0323454,7.8860124,2.05,1.8632164,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
marble,,,,0,5,5,3,,,,,7.9145796,,7.8862551,7.9145796,7.9145796,9.3886782,1.066666667,1.4641688,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
Police,,,,0,6,6,12,,,,,9.4313199,,9.3891559,9.4313199,9.4313199,10.7878482,1.977777778,1.3567303,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
Chart,,,,0,7,7,6,,,,,10.8307506,,10.7884099,10.8307506,10.8307506,12.2879252,1,1.4478607,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
Laptop,,,,0,8,8,5,,,,,12.3298464,,12.2884941,12.3298464,12.3298464,13.287369,1,0.9512754,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
Case,,,,0,9,9,10,,,,,13.3299121,,13.2879174,13.3299121,13.3299121,14.4868622,1,1.1551346,,,,,,,,,,,,,,,55110,1,2024-11-07_16h21.35.624,word_primimg,2024.1.5,None,2024-11-07 16h21.43.630087 +0530
