Study_word,test_word,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Poster,,,,0,0,0,14,,,,,0.16751480000675656,,0.04841129999840632,0.16751480000675656,0.16751480000675656,4.424571900002775,1.1666666666666667,4.346623300007195,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
mouse,,,,0,1,1,8,,,,,4.453986699998495,,4.424942400000873,4.453986699998495,4.453986699998495,5.873904699998093,1.3222222222222222,1.4283250000007683,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
Keys,,,,0,2,2,13,,,,,5.903491900011431,,5.8741281000111485,5.903491900011431,5.903491900011431,6.923913999999058,1.3222222222222222,1.026691099992604,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
T-shirt,,,,0,3,3,7,,,,,6.953149699998903,,6.924151100000017,6.953149699998903,6.953149699998903,7.956584900006419,1.3222222222222222,1.0106955999945058,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
Police,,,,0,4,4,12,,,,,7.985835400002543,,7.956840300001204,7.985835400002543,7.985835400002543,8.640067300002556,1.3222222222222222,0.661886300003971,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
Chart,,,,0,5,5,6,,,,,8.66923540001153,,8.640306900008,8.66923540001153,8.66923540001153,9.305824299997767,1.3222222222222222,0.642859600004158,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
marble,,,,0,6,6,3,,,,,9.335893100011162,,9.306032400010736,9.335893100011162,9.335893100011162,9.955871300000581,1.3222222222222222,0.6299098000017693,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
book,,,,0,7,7,0,,,,,9.985616300007678,,9.956113699998241,9.985616300007678,9.985616300007678,10.621772600003169,1.3222222222222222,0.6445942999998806,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
phone,,,,0,8,8,2,,,,,10.651516199999605,,10.621979900010047,10.651516199999605,10.651516199999605,11.205801400006749,1.3222222222222222,0.5604466000077082,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
Laptop,,,,0,9,9,5,,,,,11.234995100006927,,11.206007000000682,11.234995100006927,11.234995100006927,11.838507899999968,1.3222222222222222,0.6106438999995589,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
Pastry,,,,0,10,10,9,,,,,11.868298900008085,,11.838713400007691,11.868298900008085,11.868298900008085,12.421532699998352,1.3222222222222222,0.561975499993423,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
Case,,,,0,11,11,10,,,,,12.45114280001144,,12.421739199999138,12.45114280001144,12.45114280001144,12.95484010000655,1.3222222222222222,0.5128392000042368,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
board,,,,0,12,12,4,,,,,12.984704400005285,,12.955057600003784,12.984704400005285,12.984704400005285,13.587905500011402,1.3222222222222222,0.6116222999989986,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
Cruise,,,,0,13,13,11,,,,,13.617713200001162,,13.588113999998313,13.617713200001162,13.617713200001162,14.220809799997369,1.3222222222222222,0.6121595000004163,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
cushion,,,,0,14,14,1,,,,,14.250534999999218,,14.221014800001285,14.250534999999218,14.250534999999218,14.820725800003856,1.3222222222222222,0.5794544999953359,,,,,,,,,,,,,,,289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
,_o_rd,Board,old,,,,,0,0,0,10,14.85049810000055,,,,,,,,14.8258693000098,14.85049810000055,14.85049810000055,14.85049810000055,0.007723799993982539,20.93419410000206,board,"[-0.41944444444444445, 0.0125]","[-0.29305555555555557, -0.30972222222222223]","[1, 1]","[0, 0]","[0, 0]","[0.340268300002208, 6.105000600000494]",['text_3'],289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
,ta_l_,Table,new,,,,,0,1,1,15,20.949576200000593,,,,,,,,20.934884600006626,20.949576200000593,20.949576200000593,20.949576200000593,0.001869500003522262,25.682263000009698,table,[0.0125],[-0.30972222222222223],[1],[0],[0],[4.745040000008885],['text_3'],289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
,v_s_,Vase,new,,,,,0,2,2,17,25.697430600004736,,,,,,,,25.682692100002896,25.697430600004736,25.697430600004736,25.697430600004736,0.0028242999978829175,28.647531100010383,vase,[0.0125],[-0.30972222222222223],[1],[0],[0],[2.961567999998806],['text_3'],289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
,_oo_,Book,old,,,,,0,3,3,13,28.663293600009638,,,,,,,,28.647960300004343,28.663293600009638,28.663293600009638,28.663293600009638,0.002534699990064837,31.646654700001818,book,[0.0125],[-0.30972222222222223],[1],[0],[0],[2.9957251000014367],['text_3'],289024,001,2024-10-25_12h21.57.812,untitled,2024.1.5,None,2024-10-25 12h22.02.705236 +0530,
