Study_word,test_word,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,,,,0,0,0,0,,,,,0.09620489994995296,,0.021891799988225102,0.09620489994995296,0.09620489994995296,2.6665687998756766,1.05,2.606201400049031,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
marble,,,,0,1,1,3,,,,,2.6954290000721812,,2.6670512999407947,2.6954290000721812,2.6954290000721812,4.216381199890748,1.6333333333333333,1.5242876999545842,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
mouse,,,,0,2,2,8,,,,,4.244844099972397,,4.216613499913365,4.244844099972397,4.244844099972397,5.648985699983314,1,1.4111224999651313,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
Chart,,,,0,3,3,6,,,,,5.677879800088704,,5.649235199904069,5.677879800088704,5.677879800088704,6.83509589987807,1,1.146623000036925,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
Case,,,,0,4,4,10,,,,,6.877917599864304,,6.835687699960545,6.877917599864304,6.877917599864304,7.714553700061515,1,0.8509381001349539,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
T-shirt,,,,0,5,5,7,,,,,7.743365299887955,,7.714800900081173,7.743365299887955,7.743365299887955,8.731884599896148,1,0.9924252000637352,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
Laptop,,,,0,6,6,5,,,,,8.760646499926224,,8.732145800022408,8.760646499926224,8.760646499926224,9.714108400046825,1,0.9579979998525232,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
board,,,,0,7,7,4,,,,,9.74286670004949,,9.714538099942729,9.74286670004949,9.74286670004949,10.70010400004685,1,0.9473961000330746,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
cushion,,,,0,8,8,1,,,,,10.743095200043172,,10.700739299878478,10.743095200043172,10.743095200043172,11.679899199865758,1,0.9468950999435037,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
Police,,,,0,9,9,12,,,,,11.70928329997696,,11.680143799865618,11.70928329997696,11.70928329997696,13.899491699878126,3.561111111111111,2.179156699916348,,,,,,,,,,,,,,,999246,001,2024-11-07_16h19.37.579,word_primimg,2024.1.5,None,2024-11-07 16h19.48.152784 +0530,
