reward_today,future_reward,delay,key_resp.keys,k,,geomean values,,
78,80,162,l,0.000158278,,0.000158278,k-value,0.006092997
78,80,162,t,0.000158278,,0.001003386,,
78,80,162,t,0.000158278,,0.001003386,,
78,80,162,t,0.000158278,,0.002522357,,
78,80,162,t,0.000158278,,0.002522357,,
78,80,162,t,0.000158278,,0.002522357,,
78,80,162,t,0.000158278,,0.006048387,,
78,80,162,t,0.000158278,,0.006048387,,
78,80,162,t,0.000158278,,0.015663621,,
78,80,162,t,0.000158278,,0.040564374,,
78,80,162,t,0.000158278,0.000158278,0.040564374,,
78,80,162,l,0.000158278,,0.06450154,,
78,80,162,t,0.000158278,,0.102564103,,
78,80,162,t,0.000158278,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,,,,
67,75,119,t,0.001003386,0.001003386,,,
67,75,119,l,0.001003386,,,,
67,75,119,t,0.001003386,0.001003386,,,
67,75,119,l,0.001003386,,,,
67,75,119,t,0.001003386,,,,
49,60,89,t,0.002522357,0.002522357,,,
49,60,89,l,0.002522357,,,,
49,60,89,t,0.002522357,,,,
49,60,89,t,0.002522357,0.002522357,,,
49,60,89,l,0.002522357,,,,
49,60,89,t,0.002522357,0.002522357,,,
49,60,89,l,0.002522357,,,,
49,60,89,l,0.002522357,,,,
49,60,89,l,0.002522357,,,,
49,60,89,l,0.002522357,,,,
49,60,89,t,0.002522357,,,,
49,60,89,t,0.002522357,,,,
49,60,89,t,0.002522357,,,,
49,60,89,t,0.002522357,,,,
40,55,62,t,0.006048387,,,,
40,55,62,t,0.006048387,,,,
40,55,62,t,0.006048387,0.006048387,,,
40,55,62,l,0.006048387,,,,
40,55,62,t,0.006048387,,,,
40,55,62,t,0.006048387,,,,
40,55,62,t,0.006048387,,,,
40,55,62,t,0.006048387,,,,
40,55,62,t,0.006048387,0.006048387,,,
40,55,62,l,0.006048387,,,,
40,55,62,l,0.006048387,,,,
40,55,62,t,0.006048387,,,,
40,55,62,t,0.006048387,,,,
40,55,62,t,0.006048387,0.015663621,,,
27,50,21,l,0.040564374,,,,
27,50,21,t,0.040564374,0.040564374,,,
27,50,21,l,0.040564374,,,,
27,50,21,t,0.040564374,,,,
27,50,21,t,0.040564374,0.040564374,,,
27,50,21,l,0.040564374,,,,
27,50,21,l,0.040564374,,,,
27,50,21,l,0.040564374,,,,
27,50,21,l,0.040564374,,,,
27,50,21,l,0.040564374,,,,
27,50,21,l,0.040564374,,,,
27,50,21,l,0.040564374,,,,
27,50,21,t,0.040564374,,,,
27,50,21,t,0.040564374,0.06450154,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,t,0.102564103,0.102564103,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
15,35,13,l,0.102564103,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,t,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
