trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.025665299996035174,,0.019621499995992053,0.025665299996035174,1.0790649999980815,1.0826196999987587,6.023962400002347,up,1,4.936132500006352,None,0,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
1,0,1,0,6.0400921999971615,,6.026631200002157,6.0400921999971615,7.037880099996983,7.037880099996983,7.888971499996842,up,1,0.834293300002173,None,0,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
2,0,2,0,7.906896100001177,,7.890727999998489,7.906896100001177,8.889668199997686,8.904160799997044,9.638359199998376,up,1,0.7323612000036519,None,0,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
3,0,3,0,9.65620510000008,,9.639861999996356,9.65620510000008,10.639161300001433,10.653477699997893,11.672229099996912,down,0,1.0243897000036668,None,0,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
4,0,4,0,11.688354199999594,,11.674264799999946,11.688354199999594,12.686040799999319,12.686040799999319,13.387241299999005,up,1,0.699347099995066,None,0,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
5,0,5,0,13.40459589999955,,13.388823799999955,13.40459589999955,14.387791199995263,14.402348299998266,15.13738960000046,down,1,0.7459099999978207,None,-3,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
6,0,6,0,15.154531699998188,,15.13891760000115,15.154531699998188,16.151593499998853,16.151593499998853,16.9706714999993,up,0,0.8165337000027648,None,3,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
7,0,7,0,16.986603999997897,,16.9730206000022,16.986603999997897,17.983984200000123,17.983984200000123,18.819899299996905,up,0,0.8323422000030405,None,-5,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
8,0,8,0,18.836078899999848,,18.8219179000007,18.836078899999848,19.83359829999972,19.83359829999972,20.502390499998,down,1,0.6635236000001896,None,4,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
9,0,9,0,20.519070999995165,,20.504277100000763,20.519070999995165,21.516899399997783,21.516899399997783,23.76881200000207,up,0,2.24923989999661,None,-5,230730,001,2024-09-13_11h31.43.165,signal detection,2024.1.5,None,2024-09-13 11h31.54.387819 +0530,
