key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,
up,0,2,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,2,,,,,1,,,
up,0,-3,,,,1,,,,
up,0,4,,,,1,,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,1,3,,,,,1,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
down,1,-1,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,-2,,,,,1,,,
down,1,-2,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
down,1,-4,,,,,1,,,
down,1,-3,,,,,1,,,
up,1,0,,1,,,,,,
down,1,4,,,,,1,,,
up,0,-2,,,,1,,,,
down,0,0,,,1,,,,,
down,0,0,,,1,,,,,
down,1,-3,,,,,1,,,
up,1,0,,1,,,,,,
up,0,-1,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
down,1,-3,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,2,,,,,1,,,
down,0,0,,,1,,,,,
up,0,4,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,-2,,,,,1,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
up,0,-2,,,,1,,,,
down,0,0,,,1,,,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,0,,,1,,,,,
down,1,-5,,,,,1,,,
down,1,-2,,,,,1,,,
up,0,-3,,,,1,,,,
up,0,1,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,1,-3,,,,,1,,,
up,0,0,,,1,,,,,
up,1,0,,1,,,,,,
up,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,1,-2,,,,,1,,,
down,0,0,,,1,,,,,
up,0,-5,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
up,0,-1,,,,1,,,,
down,0,0,,,1,,,,,
down,1,3,,,,,1,,,
up,0,0,,,1,,,,,
up,1,0,,1,,,,,,
up,0,-2,,,,1,,,,
up,1,0,,1,,,,,,
up,0,-2,,,,1,,,,
down,1,-3,,,,,1,,,
down,0,0,,,1,,,,,
down,0,0,,,1,,,,,
up,0,-2,,,,1,,,,
up,1,0,,1,,,,,,
down,1,1,,,,,1,,,
down,1,-5,,,,,1,,,
down,1,2,,,,,1,,,
down,1,-2,,,,,1,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
down,1,-1,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,0,,,1,,,,,
down,0,0,,,1,,,,,
down,0,0,,,1,,,,,
,,,sum,38,25,14,23,,,
,,,,,,,,,,
Prop hit,0.603174603,,hit/hit+misss,,,,,,Response Yes,Response No
Prop fa,0.378378378,,fa/fa+cr,,,,,Signal Present,Hit,Miss
,,,,,,,,Signal Absent,False alarm,Correct rejection
d-prime,0.571315361,,z(prop hit)-z(prop fa),,,,,,,
c,0.024084851,,,,,,,,Response Yes,Response No
,conservative bias,,,,,,,Signal Present,38,25
,,,,,,,,Signal Absent,14,23
