trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0206738,,0.0094286,0.0206738,1.0648533,1.0673592,1.732347,down,1,0.6462993,None,-4,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
1,0,1,0,1.738891,,1.7339713,1.738891,2.7387858,2.7387858,3.5075892,down,1,0.7652626,None,-3,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
2,0,2,0,3.5213078,,3.5095672,3.5213078,4.521395,4.521395,5.7063683,down,1,1.171394,None,-4,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
3,0,3,0,5.7208597,,5.7082415,5.7208597,6.7207526,6.7207526,11.7381542,down,0,5.0061239,None,0,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
4,0,4,0,11.7523039,,11.7401431,11.7523039,12.7523635,12.7523635,13.1698236,up,1,0.4019924,None,0,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
5,0,5,0,13.1851511,,13.1715295,13.1851511,14.1847389,14.1847389,14.7033197,up,1,0.510755,None,0,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
6,0,6,0,14.7175649,,14.7050226,14.7175649,15.7175816,15.7175816,16.402844,up,1,0.6756478,None,0,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
7,0,7,0,16.4171823,,16.4047402,16.4171823,17.4172187,17.4172187,20.3181447,down,0,2.8929108,None,0,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
8,0,8,0,20.3327938,,20.3201436,20.3327938,21.3325829,21.3325829,22.0173928,up,0,0.6742241,None,0,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
9,0,9,0,22.0321588,,22.0188714,22.0321588,23.0320216,23.0320216,23.850238,down,1,0.8062128,None,-4,284917,1,2024-09-13_11h43.49.510,signal detection,2024.1.5,None,2024-09-13 11h43.55.766694 +0530
