Words,correct_resp,key_resp.rt,trial type,Mean_rt,
Happiness,1,2.5558394,emotionally charged ,emotionally charged words,8.16683535
Death,1,6.2587006,emotionally charged ,neutral words,4.05834274
Fear,1,9.1315423,emotionally charged ,,
Grief,0,9.3485831,emotionally charged ,,
Hate,0,13.1113495,emotionally charged ,,
Hope,1,6.4339837,emotionally charged ,difference in RT,4.10849261
Joy,1,9.4882933,emotionally charged ,,
Dream,1,11.7677146,emotionally charged ,,
Peace,0,4.616242,emotionally charged ,,
Love,1,8.956105,emotionally charged ,,
Chair,1,3.0627827,neutral,,
Bottle,0,5.0074241,neutral,,
Brick,1,5.4122853,neutral,,
Pen,1,2.0790864,neutral,,
Lamp,1,3.5711008,neutral,,
Table,1,4.658432,neutral,,
Paper,1,4.2393179,neutral,,
Wall,1,2.951284,neutral,,
Cloud,1,3.4174069,neutral,,
Window,1,6.1843073,neutral,,
