word,key_resp.corr,key_resp.rt,word_type,mean_rt,
Hope,1,9.3937053,emotionally charged,emotionally charged words,10.73154468
Dream,1,8.8747196,emotionally charged,neutral,6.615629778
Hate,1,7.5744374,emotionally charged,,
Peace,1,6.1761,emotionally charged,difference in RT,4.115914902
Grief,1,10.6990156,emotionally charged,,
Happiness,1,12.539274,emotionally charged,,
Love,1,14.2199475,emotionally charged,,
Joy,1,15.2231701,emotionally charged,,
Fear,0,13.4874934,emotionally charged,,
Death,1,9.1275839,emotionally charged,,
Pen,1,5.8767729,neutral,,
Window,1,4.3997572,neutral,,
Lamp,1,4.0764385,neutral,,
Chair,1,5.6489055,neutral,,
Wall,1,13.7048615,neutral,,
Bottle,0,11.8224497,neutral,,
Paper,1,3.3153132,neutral,,
Brick,1,6.8964455,neutral,,
Cloud,1,3.799724,neutral,,
Table,0,4.9031563,neutral,,
