word,key_resp.corr,key_resp.rt,trial_type,mean_rt,
Grief,1,10.4288005,emotionally charged,emotionally charged words,7.83457488
Hate,1,7.0952989,emotionally charged,neutral words,5.29360197
Joy,1,5.4727427,emotionally charged,,
Happiness,1,9.2591395,emotionally charged,difference in RT,2.54097291
Peace,1,12.1933574,emotionally charged,,
Hope,1,7.2301693,emotionally charged,,
Dream,1,5.3340614,emotionally charged,,
Love,1,3.0005421,emotionally charged,,
Fear,1,10.1335895,emotionally charged,,
Death,1,8.1980475,emotionally charged,,
Chair,1,4.0077463,neutral,,
Window,1,3.2688214,neutral,,
Lamp,1,7.9548259,neutral,,
Cloud,1,2.5174073,neutral,,
Pen,1,2.788903,neutral,,
Table,1,5.7964994,neutral,,
Bottle,1,5.1982678,neutral,,
Wall,1,4.7262803,neutral,,
Paper,1,7.5907927,neutral,,
Brick,1,9.0864756,neutral,,
